Neighbourhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Bankside,Coffee Shop,Pub,Italian Restaurant,Theater,Hotel,Street Food Gathering,Bakery,Grocery Store,Park,Garden
Bellingham,Grocery Store,Supermarket,Park,Café,Italian Restaurant,Fast Food Restaurant,Coffee Shop,Pub,Hardware Store,Platform
Bermondsey,Coffee Shop,Pub,Italian Restaurant,Theater,Hotel,Street Food Gathering,Bakery,Grocery Store,Park,Garden
Blackheath,Pub,Grocery Store,Coffee Shop,Park,Bakery,Italian Restaurant,Café,Supermarket,Garden,Pizza Place
Brixton,Café,Pub,Park,Coffee Shop,Middle Eastern Restaurant,Italian Restaurant,Cocktail Bar,Pizza Place,Bar,Beer Bar
Brockley,Pub,Coffee Shop,Café,Park,Cocktail Bar,Food Truck,Italian Restaurant,Bar,Gastropub,Supermarket
Camberwell,Café,Pub,Park,Coffee Shop,Middle Eastern Restaurant,Italian Restaurant,Cocktail Bar,Pizza Place,Bar,Beer Bar
Catford,Grocery Store,Supermarket,Park,Café,Italian Restaurant,Fast Food Restaurant,Coffee Shop,Pub,Hardware Store,Platform
Chinbrook,Grocery Store,Pub,Park,Gym / Fitness Center,Café,Italian Restaurant,Coffee Shop,Train Station,Supermarket,Soccer Field
Crofton Park,Pub,Coffee Shop,Café,Park,Cocktail Bar,Food Truck,Italian Restaurant,Bar,Gastropub,Supermarket
Denmark Hill,Café,Pub,Park,Coffee Shop,Middle Eastern Restaurant,Italian Restaurant,Cocktail Bar,Pizza Place,Bar,Beer Bar
Deptford,Pub,Coffee Shop,Café,Park,Bar,Garden,Vietnamese Restaurant,Market,Indie Movie Theater,Cocktail Bar
Dulwich,Pub,Café,Park,Bakery,Coffee Shop,Grocery Store,Gym / Fitness Center,Farmers Market,Italian Restaurant,Brewery
East Dulwich,Café,Pub,Park,Pizza Place,Italian Restaurant,Coffee Shop,Gym / Fitness Center,Garden Center,Grocery Store,Forest
Elephant and Castle,Pub,Café,Coffee Shop,Park,Italian Restaurant,Theater,Hotel,Street Food Gathering,Garden,Pizza Place
Forest Hill,Pub,Coffee Shop,Café,Grocery Store,Supermarket,Park,Gym / Fitness Center,Indian Restaurant,Forest,Pizza Place
Gipsy Hill,Pub,Coffee Shop,Café,Park,Grocery Store,Italian Restaurant,Bakery,Train Station,Supermarket,Movie Theater
Grove Park,Grocery Store,Pub,Park,Gym / Fitness Center,Café,Italian Restaurant,Coffee Shop,Train Station,Supermarket,Soccer Field
Herne Hill,Coffee Shop,Pub,Pizza Place,Café,Park,Cocktail Bar,Brewery,Market,Vegetarian / Vegan Restaurant,Restaurant
Hither Green,Pub,Café,Gastropub,Park,Garden,Food Truck,Coffee Shop,Restaurant,Fish & Chips Shop,Supermarket
Honor Oak,Pub,Coffee Shop,Café,Grocery Store,Supermarket,Park,Gym / Fitness Center,Indian Restaurant,Forest,Pizza Place
Ladywell,Pub,Café,Coffee Shop,Park,Gastropub,Food Truck,Bar,Italian Restaurant,Fish & Chips Shop,Restaurant
Lambeth,Coffee Shop,Pub,Italian Restaurant,Theater,Hotel,Street Food Gathering,Bakery,Grocery Store,Park,Garden
Lee,Grocery Store,Pub,Park,Gym / Fitness Center,Café,Italian Restaurant,Coffee Shop,Train Station,Supermarket,Soccer Field
Lewisham,Pub,Café,Gastropub,Park,Garden,Food Truck,Coffee Shop,Restaurant,Fish & Chips Shop,Supermarket
New Cross,Pub,Coffee Shop,Café,Bar,Italian Restaurant,Park,Indie Movie Theater,Gastropub,Brewery,Indian Restaurant
Newington,Pub,Coffee Shop,Café,Italian Restaurant,Park,Theater,Hotel,Street Food Gathering,Pizza Place,Bakery
Nunhead,Pub,Café,Pizza Place,Park,Gastropub,Italian Restaurant,Bar,Coffee Shop,Indie Movie Theater,Cocktail Bar
Oval,Café,Pub,Park,Coffee Shop,Hotel,Italian Restaurant,Gastropub,Theater,Garden,Cricket Ground
Peckham,Pub,Café,Pizza Place,Park,Gastropub,Italian Restaurant,Bar,Coffee Shop,Indie Movie Theater,Cocktail Bar
Rotherhithe,Pub,Brewery,Park,Coffee Shop,Café,Beer Bar,Bar,Vietnamese Restaurant,Food Truck,Music Venue
Selhurst,Pub,Park,Grocery Store,Supermarket,Coffee Shop,Platform,Café,Train Station,Tram Station,Hotel
South Norwood,Pub,Park,Grocery Store,Supermarket,Coffee Shop,Platform,Café,Train Station,Tram Station,Hotel
Southend,Grocery Store,Supermarket,Park,Café,Italian Restaurant,Fast Food Restaurant,Coffee Shop,Pub,Hardware Store,Platform
St Johns,Pub,Coffee Shop,Café,Park,Cocktail Bar,Food Truck,Italian Restaurant,Bar,Gastropub,Supermarket
Surrey Quays,Pub,Brewery,Park,Coffee Shop,Café,Beer Bar,Bar,Vietnamese Restaurant,Food Truck,Music Venue
Tulse Hill,Coffee Shop,Pub,Café,Park,Pizza Place,Brewery,Bakery,Grocery Store,Gym / Fitness Center,Vegetarian / Vegan Restaurant
Upper Norwood,Pub,Coffee Shop,Park,Café,Italian Restaurant,Bakery,Grocery Store,Gastropub,Train Station,Movie Theater
Walworth,Pub,Café,Coffee Shop,Italian Restaurant,Park,Pizza Place,Art Gallery,Theater,Garden,Gastropub
West Norwood,Pub,Coffee Shop,Grocery Store,Café,Park,Bakery,Gym / Fitness Center,Pizza Place,Brewery,Pharmacy
